"","Land_use","species","guild","A_match","SD_match","A_mtheta","A_nopartners","p_value","forest_cover","Coef_matchr"
"1992","Edge",99,"parasites",0.382379331918436,0.0283356920790421,0.756407555359347,1,0.25,0.3,0.0741036183542638
"1993","Edge",100,"parasites",0.332319772174039,0.0514720607477803,0.353814775996792,1,0.25,0.3,0.154887145026158
"1994","Edge",101,"parasites",0.326375306034716,0.0522524445147338,0.358239545600624,1,0.25,0.3,0.16009925857925
"1995","Edge",102,"parasites",0.328691590145693,0.050001526510365,0.361310821971822,1,0.25,0.3,0.152122926200217
"1996","Core",1,"hosts",0.381985476379578,0.0577726415088762,0.275482576866093,3.7565011820331,0.25,0.5,0.151243031689162
"1997","Core",1,"parasites",0.370369243491395,0.0613307199654035,0.669748252214577,2.17922077922078,0.25,0.5,0.165593447736781
"1998","Core",2,"hosts",0.359234345957444,0.0746080807068231,0.477856320986552,1.8167115902965,0.25,0.5,0.207686379507992
"1999","Core",2,"parasites",0.356930154199383,0.0650368032342039,0.632854997666668,2.0051948051948,0.25,0.5,0.182211568479232
"2000","Core",3,"hosts",0.246682814727964,0.0605888543484152,0.45203869089704,1.44267515923567,0.25,0.5,0.245614411426394
"2001","Core",3,"parasites",0.354846518984778,0.0632789580174829,0.70166327834037,2.17661691542289,0.25,0.5,0.178327684314123
"2002","Core",4,"hosts",0.367765032835898,0.0596416322718328,0.711543024493146,2.14864864864865,0.25,0.5,0.162173200132504
"2003","Core",4,"parasites",0.413221657378054,0.0577481307278632,0.50852924088783,1,0.25,0.5,0.139750977947968
"2004","Core",5,"hosts",0.183189095960269,0.0414128034757779,0.261741438957832,2.80479452054795,0.25,0.5,0.226065876130311
"2005","Core",5,"parasites",0.38623305271146,0.0601050056281708,0.508636751568199,4.95860566448802,0.25,0.5,0.155618493047701
"2006","Core",6,"hosts",0.389625236433707,0.0594422258302338,0.560310591730772,1.20923913043478,0.25,0.5,0.152562565952649
"2007","Core",6,"parasites",0.361455798740268,0.0549374603851299,0.779444847916706,1,0.25,0.5,0.151989428794878
"2008","Core",7,"hosts",0.197636972875579,0.061187745649972,0.400379309861842,0.958955223880597,0.25,0.5,0.30959665471345
"2009","Core",7,"parasites",0.366450901960033,0.0526350995560041,0.781079950825502,1,0.25,0.5,0.143634793295569
"2010","Core",8,"hosts",0.313345187780322,0.0923350565720721,0.407270185485679,0.951298701298701,0.25,0.5,0.294675202214389
"2011","Core",8,"parasites",0.361163679252531,0.0340074045858009,0.743420317856932,1,0.25,0.5,0.0941606438836349
"2012","Core",9,"hosts",0.280685480139434,0.0943741101588818,0.390538863982578,0.963636363636364,0.25,0.5,0.336227260890019
"2013","Core",9,"parasites",0.37179318552296,0.0521384289368476,0.731493775013277,1,0.25,0.5,0.140235031106098
"2014","Core",10,"hosts",0.289198471292498,0.0931123095926575,0.399446048612504,0.95253164556962,0.25,0.5,0.321966811154001
"2015","Core",10,"parasites",0.328005932655523,0.0583326511111669,0.794426777166401,1.43478260869565,0.25,0.5,0.177840231848577
"2016","Core",11,"hosts",0.308222615448139,0.0956048547011188,0.388227281744199,0.967845659163987,0.25,0.5,0.310181180450092
"2017","Core",11,"parasites",0.387297729507085,0.0597469063919868,0.662747334737368,3.81670533642691,0.25,0.5,0.154266089987222
"2018","Core",12,"hosts",0.208358107664314,0.0540085031423759,0.181417395336343,4.16766467065868,0.25,0.5,0.259209990663714
"2019","Core",12,"parasites",0.361815267547929,0.0597105698678596,0.698037163640606,2.15443037974684,0.25,0.5,0.165030542443734
"2020","Core",13,"hosts",0.167035819146674,0.0458013911348271,0.384822326677156,1.8433734939759,0.25,0.5,0.274201014900936
"2021","Core",13,"parasites",0.379162063746038,0.0611270898947661,0.846503598454601,1,0.25,0.5,0.161216260115382
"2022","Core",14,"hosts",0.159574624827736,0.0415668086991412,0.932063261510237,0.919191919191919,0.25,0.5,0.260485078652157
"2023","Core",14,"parasites",0.313169515283798,0.0617624129268214,0.619062781071056,9.9390243902439,0.25,0.5,0.197217193604721
"2024","Core",15,"hosts",0.385124533268602,0.0611560649846612,0.514797839820166,0.903703703703704,0.25,0.5,0.158795557545041
